,ensemble_size,random,covariance,bandwidth,sampling,RMSE
0,3,0,0.25,0.3333333333333333,normalizing_flow,3.5321643558483244
1,3,1,0.25,0.3333333333333333,normalizing_flow,0.8909170353962788
2,3,2,0.25,0.3333333333333333,normalizing_flow,0.8589095486740513
3,3,3,0.25,0.3333333333333333,normalizing_flow,0.8894645174011871
4,3,4,0.25,0.3333333333333333,normalizing_flow,0.851723284750431
5,3,5,0.25,0.3333333333333333,normalizing_flow,0.8790210544646473
6,3,6,0.25,0.3333333333333333,normalizing_flow,0.8396024551194872
7,3,7,0.25,0.3333333333333333,normalizing_flow,0.8715055503416127
8,3,8,0.25,0.3333333333333333,normalizing_flow,0.8795956967031543
9,3,9,0.25,0.3333333333333333,normalizing_flow,0.8723516157716367
10,3,10,0.25,0.3333333333333333,normalizing_flow,0.8650476991229497
11,3,11,0.25,0.3333333333333333,normalizing_flow,0.8587962912175537
12,3,12,0.25,0.3333333333333333,normalizing_flow,0.848735743488052
13,3,13,0.25,0.3333333333333333,normalizing_flow,0.8975336350991063
14,3,14,0.25,0.3333333333333333,normalizing_flow,0.856313914819996
15,3,15,0.25,0.3333333333333333,normalizing_flow,0.8616021862981046
16,3,16,0.25,0.3333333333333333,normalizing_flow,0.882850915145004
17,3,17,0.25,0.3333333333333333,normalizing_flow,0.8751194555122493
18,3,18,0.25,0.3333333333333333,normalizing_flow,0.8603031226502101
19,3,19,0.25,0.3333333333333333,normalizing_flow,0.88193696247012
20,3,20,0.25,0.3333333333333333,normalizing_flow,0.8319106639539317
21,3,21,0.25,0.3333333333333333,normalizing_flow,0.8764429429455329
22,3,22,0.25,0.3333333333333333,normalizing_flow,0.8572034987813935
23,3,23,0.25,0.3333333333333333,normalizing_flow,0.8706902534638924
24,3,24,0.25,0.3333333333333333,normalizing_flow,0.8750007979063861
25,3,25,0.25,0.3333333333333333,normalizing_flow,0.8492780172754963
26,3,26,0.25,0.3333333333333333,normalizing_flow,0.8775075833605436
27,3,27,0.25,0.3333333333333333,normalizing_flow,0.8852663599679628
28,3,28,0.25,0.3333333333333333,normalizing_flow,0.8872320162707474
29,3,29,0.25,0.3333333333333333,normalizing_flow,0.85957310208065
30,3,30,0.25,0.3333333333333333,normalizing_flow,0.879827900784861
31,3,31,0.25,0.3333333333333333,normalizing_flow,0.8574910439700999
32,3,0,0.25,0.6666666666666666,normalizing_flow,3.5321421717908104
33,3,1,0.25,0.6666666666666666,normalizing_flow,0.8867280462640287
34,3,2,0.25,0.6666666666666666,normalizing_flow,0.8312473313187463
35,3,3,0.25,0.6666666666666666,normalizing_flow,0.8517104311592266
36,3,4,0.25,0.6666666666666666,normalizing_flow,0.8549960083655995
37,3,5,0.25,0.6666666666666666,normalizing_flow,0.8326866292411723
38,3,6,0.25,0.6666666666666666,normalizing_flow,0.8708084276904577
39,3,7,0.25,0.6666666666666666,normalizing_flow,0.8886035452843419
40,3,8,0.25,0.6666666666666666,normalizing_flow,0.8247897551006422
41,3,9,0.25,0.6666666666666666,normalizing_flow,0.8596316472070092
42,3,10,0.25,0.6666666666666666,normalizing_flow,0.8616347105494494
43,3,11,0.25,0.6666666666666666,normalizing_flow,0.8636829286071477
44,3,12,0.25,0.6666666666666666,normalizing_flow,0.8539377452744903
45,3,13,0.25,0.6666666666666666,normalizing_flow,0.885084865040148
46,3,14,0.25,0.6666666666666666,normalizing_flow,0.8506934914402552
47,3,15,0.25,0.6666666666666666,normalizing_flow,0.8664665286786111
48,3,16,0.25,0.6666666666666666,normalizing_flow,0.860546481063312
